year,album name,artist,status,Record Label,Did Perform at Grammys
2010,The Suburbs,Arcade Fire,Winner,Merge Records,TRUE
2010,Recovery,Eminem,Nominee,Aftermath Entertainment,TRUE
2010,Teenage Dream,Katy Perry,Nominee,Capital Records,TRUE
2010,The Fame Monster,Lady Gaga,Nominee,Interscope Records,TRUE
2010,Need You Now,Lady Antebellum,Nominee,Capital Nashville,TRUE
2011,21,Adele,Winner,Columbia Records,TRUE
2011,Born This Way,Lady Gaga,Nominee,Interscope Records,FALSE
2011,Doo-Wops & Hooligans,Bruno Mars,Nominee,Elektra Records,FALSE
2011,Loud,Rihanna,Nominee,Roc Nation,TRUE
2011,Wasting Light,Foo Fighters,Nominee,RCA Records,TRUE
2012,Babel,Mumford & Sons,Winner,Island Records,TRUE
2012,Blunderbuss,Jack White,Nominee,Columbia Records,TRUE
2012,Channel Orange,Frank Ocean,Nominee,Def Jam Recordings,TRUE
2012,El Camino,The Black Keys,Nominee,Nonesuch Records,TRUE
2012,Some Nights,Fun.,Nominee,Fueled By Ramen,TRUE
2013,Random Access Memories,Daft Punk,Winner,Columbia Records,TRUE
2013,The Blessed Unrest,Sara Bareilles,Nominee,Epic Records,TRUE
2013,"Good Kid, M.A.A.D City",Kendrick Lamar,Nominee,Aftermath Entertainment,TRUE
2013,The Heist,Macklemore & Ryan Lewis,Nominee,ADA Records,TRUE
2013,Red,Taylor Swift,Nominee,Big Machine Records,TRUE
2014,Morning Phase,Beck,Winner,Capital Records,TRUE
2014,Beyoncé,Beyoncé,Nominee,Columbia Records,TRUE
2014,Girl,Pharrell Williams,Nominee,Columbia Records,TRUE
2014,In the Lonely Hour,Sam Smith,Nominee,Capital Records,TRUE
2014,x,Ed Sheeran,Nominee,Asylum Records,TRUE
2015,1989,Taylor Swift,Winner,Big Machine Records,TRUE
2015,Beauty Behind the Madness,The Weeknd,Nominee,Republic Records,TRUE
2015,Sound & Color,Alabama Shakes,Nominee,ATO Records,TRUE
2015,To Pimp a Butterfly,Kendrick Lamar,Nominee,Aftermath Entertainment,TRUE
2015,Traveller,Chris Stapleton,Nominee,Mercury Nashville,TRUE
2016,25,Adele,Winner,Columbia Records,TRUE
2016,Lemonade,Beyoncé,Nominee,Columbia Records,TRUE
2016,Purpose,Justin Bieber,Nominee,Def Jam Recordings,FALSE
2016,A Sailor's Guide to Earth,Sturgill Simpson,Nominee,Atlantic Records,TRUE
2016,Views,Drake,Nominee,Cash Money Records,FALSE
2017,24K Magic,Bruno Mars,Winner,Atlantic Records,TRUE
2017,"Awaken, My Love!",Childish Gambino,Nominee,Glassnote Records,TRUE
2017,DAMN.,Kendrick Lamar,Nominee,Aftermath Entertainment,TRUE
2017,4:44,Jay-Z,Nominee,Roc Nation,FALSE
2017,Melodrama,Lorde,Nominee,Universal Music Group,FALSE
2018,Golden Hour,Kacey Musgraves,Winner,MCA Nashville,TRUE
2018,Beerbongs & Bentleys,Post Malone,Nominee,Republic Records,TRUE
2018,"Black Panther: The Album, Music from and Inspired By",Various Artists,Nominee,Aftermath Entertainment,FALSE
2018,"By the Way, I Forgive You",Brandi Carlile,Nominee,Elektra Records,TRUE
2018,Dirty Computer,Janelle Monáe,Nominee,Atlantic Records,TRUE
2018,H.E.R.,H.E.R.,Nominee,RCA Records,TRUE
2018,Invasion of Privacy,Cardi B,Nominee,Atlantic Records,TRUE
2018,Scorpion,Drake,Nominee,Cash Money Records,FALSE
2019,"When We All Fall Asleep, Where Do We Go?",Billie Eilish,Winner,Interscope Records,TRUE
2019,Cuz I Love You (Deluxe),Lizzo,Nominee,Atlantic Records,TRUE
2019,Father of the Bride,Vampire Weekend,Nominee,Columbia Records,VAMPIRE WEEKEND
2019,"I, I",Bon Iver,Nominee,Jagjaguwar,FALSE
2019,I Used to Know Her,H.E.R.,Nominee,RCA Records,TRUE
2019,Norman Fucking Rockwell!,Lana Del Rey,Nominee,Interscope Records,FALSE
2019,7,Lil Nas X,Nominee,Columbia Records,TRUE
2019,"Thank U, Next",Ariana Grande,Nominee,Republic Records,TRUE
